,Disk I/O time,Buffer Cache I/O time
0,0.00038221594877541065,5.822395905852318e-05
1,0.00036346400156617165,5.1745912060141563e-05
2,0.0003756619989871979,5.993712693452835e-05
3,0.0003789390902966261,6.523402407765388e-05
4,0.00037585198879241943,5.779322236776352e-05
5,0.00038107321597635746,5.9304991737008095e-05
6,0.0003834199160337448,6.017903797328472e-05
7,0.00038997502997517586,5.861395038664341e-05
8,0.00038874102756381035,5.9681013226509094e-05
9,0.00038884510286152363,5.8892881497740746e-05
